density of cars,density of busses,flow rate
0.6200359348564404,0.12236041277304238,0.25179199999999974
0.5867135127332432,0.17209224875045254,0.24552400000000002
0.6270848453961373,0.09397304749134348,0.2499239999999998
0.013500506633381204,0.281323748790779,0.5645319999999999
0.7932885698071457,0.011707264423325231,0.21748000000000006
0.06212255151641177,0.4067047865352474,0.4794279999999995
0.28599952090905945,0.3281895636257193,0.30542400000000003
0.48699145100602736,0.10917183945659972,0.308772
0.24726703808543515,0.010658409343176465,0.5216880000000012
0.1601055704056571,0.12473679447194884,0.5394720000000007
0.6188802830144274,0.18510565579471353,0.23391599999999993
0.9650029213801278,0.010138305021502696,0.14192800000000017
0.37709821628131934,0.2845963387932976,0.2727880000000002
0.3581223149876359,0.19041889040947524,0.3421199999999995
0.17424086489342516,0.24687301673831374,0.46976400000000074
0.9004405623065261,0.021647029035082102,0.15824000000000024
0.4476588203216165,0.15763921976603298,0.3248279999999996
0.8145468687959907,0.004773601705554223,0.20312800000000006
0.17548955671201683,0.032061985799984184,0.5413360000000005
0.8713156654184826,0.003019635004847888,0.17826000000000009
0.18766557683900476,0.05080524899548665,0.5657399999999996
0.8227761072033968,0.08852450126767812,0.14334800000000006
0.7621633730996712,0.03047429820017752,0.2201640000000004
0.9688622610011899,0.009633736108129056,0.1549240000000001
0.15325860897817478,0.20875290454100218,0.5021440000000005
0.4467357108742077,0.2621583876120054,0.2438600000000001
0.1291844749181229,0.13864074500253754,0.5280080000000003
0.3710895590843827,0.02250654628455629,0.4132519999999996
0.05022299976248257,0.038624513830535716,0.4705119999999997
0.1884976056726747,0.37342353900683656,0.37611600000000067
0.6180579175695958,0.000794902352730285,0.2917560000000001
0.20355936475260727,0.3340834083757534,0.3728240000000003
0.9678341284806695,0.013127148643357473,0.13744800000000007
0.4983301038350346,0.11961809618028116,0.32255999999999946
0.09364922480582494,0.4088536583852606,0.44676399999999966
0.3943697783529303,0.004204580354427047,0.4251879999999997
0.1811659234437102,0.19391851211412345,0.47800000000000026
0.03589704954416373,0.19346056746522208,0.6193840000000002
0.9116201572701584,0.026812454368081627,0.1451120000000001
0.9888469572650689,0.0022616237832612535,0.1345800000000001
0.48213050312875616,0.060322689763768325,0.3496519999999988
0.7352358484674542,0.10522978046237234,0.1826040000000001
0.2891146873842534,0.31758000806048436,0.31126399999999993
